2026-06-30 19:07:32,414 | bronze.insert_query | INFO | [production] Logged pipeline run ec4ca40b-7443-4e92-9d70-2b88c93701f9 (failed)
2026-06-30 19:07:57,539 | bronze.insert_query | ERROR | [insert_dataframe] Failed to insert into bronze.rainfall: 'Area'
2026-06-30 19:08:08,934 | bronze.insert_query | INFO | [rainfall] Logged pipeline run ec4ca40b-7443-4e92-9d70-2b88c93701f9 (failed)
2026-06-30 19:08:50,255 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 19:09:01,486 | bronze.insert_query | INFO | [production] Logged pipeline run 76c8644f-048b-42fb-b4fd-c1aafee61272 (failed)
2026-06-30 19:11:45,034 | bronze.insert_query | ERROR | [insert_dataframe] Failed to insert into bronze.rainfall: 'Area'
2026-06-30 19:11:56,289 | bronze.insert_query | INFO | [rainfall] Logged pipeline run 76c8644f-048b-42fb-b4fd-c1aafee61272 (failed)
2026-06-30 19:12:02,162 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 19:12:13,421 | bronze.insert_query | INFO | [temperature] Logged pipeline run 76c8644f-048b-42fb-b4fd-c1aafee61272 (failed)
2026-06-30 19:12:19,214 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 19:12:36,433 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 19:12:47,733 | bronze.insert_query | INFO | [production] Logged pipeline run 0a1886ac-17ba-46b6-91bc-6d49a922427e (failed)
2026-06-30 19:12:51,476 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 19:12:51,691 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 19:12:56,556 | bronze.insert_query | ERROR | [insert_dataframe] Failed to insert into bronze.rainfall: 'Area'
2026-06-30 19:13:02,503 | bronze.insert_query | INFO | [production] Logged pipeline run d6806f1b-79ff-40cb-b70f-19f7e3cc151a (failed)
2026-06-30 19:13:02,757 | bronze.insert_query | INFO | [production] Logged pipeline run f5330a10-020b-4a3e-947d-d9454ffbe0c0 (failed)
2026-06-30 19:13:07,491 | bronze.insert_query | INFO | [rainfall] Logged pipeline run 0a1886ac-17ba-46b6-91bc-6d49a922427e (failed)
2026-06-30 19:13:10,394 | bronze.insert_query | ERROR | [insert_dataframe] Failed to insert into bronze.rainfall: 'Area'
2026-06-30 19:13:12,548 | bronze.insert_query | ERROR | [insert_dataframe] Failed to insert into bronze.rainfall: 'Area'
2026-06-30 19:13:13,041 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 19:13:21,447 | bronze.insert_query | INFO | [rainfall] Logged pipeline run d6806f1b-79ff-40cb-b70f-19f7e3cc151a (failed)
2026-06-30 19:13:23,607 | bronze.insert_query | INFO | [rainfall] Logged pipeline run f5330a10-020b-4a3e-947d-d9454ffbe0c0 (failed)
2026-06-30 19:13:24,078 | bronze.insert_query | INFO | [temperature] Logged pipeline run 0a1886ac-17ba-46b6-91bc-6d49a922427e (failed)
2026-06-30 19:13:27,204 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 19:13:29,261 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 19:13:29,797 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 19:13:38,744 | bronze.insert_query | INFO | [temperature] Logged pipeline run d6806f1b-79ff-40cb-b70f-19f7e3cc151a (failed)
2026-06-30 19:13:40,534 | bronze.insert_query | INFO | [temperature] Logged pipeline run f5330a10-020b-4a3e-947d-d9454ffbe0c0 (failed)
2026-06-30 19:13:41,756 | bronze.insert_query | INFO | [production_coded] Logged pipeline run 0a1886ac-17ba-46b6-91bc-6d49a922427e (failed)
2026-06-30 19:13:44,799 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 19:13:46,296 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
