2026-06-30 22:11:59,966 | bronze_pipeline | INFO | [production_coded] Starting ingestion
2026-06-30 22:12:01,477 | bronze_pipeline | ERROR | [production_coded] Failed after 1.51s: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 22:12:02,660 | bronze_pipeline | INFO | [crop_analytics] Starting ingestion
2026-06-30 22:12:04,118 | bronze_pipeline | ERROR | [crop_analytics] Failed after 1.46s: No preparer registered for table: 'bronze.crop_analytics'. Available: ['bronze.rainfall']
2026-06-30 22:18:38,361 | bronze_pipeline | INFO | [production] Starting ingestion
2026-06-30 22:18:45,216 | bronze_pipeline | ERROR | [production] Failed after 6.85s: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 22:18:46,434 | bronze_pipeline | INFO | [rainfall] Starting ingestion
2026-06-30 22:18:52,416 | bronze_pipeline | INFO | [rainfall] Done — 6727 rows inserted in 4.77s
2026-06-30 22:18:52,416 | bronze_pipeline | INFO | [temperature] Starting ingestion
2026-06-30 22:18:53,953 | bronze_pipeline | ERROR | [temperature] Failed after 1.54s: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 22:18:55,166 | bronze_pipeline | INFO | [production_coded] Starting ingestion
2026-06-30 22:18:56,745 | bronze_pipeline | ERROR | [production_coded] Failed after 1.58s: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 22:18:57,961 | bronze_pipeline | INFO | [crop_analytics] Starting ingestion
2026-06-30 22:18:59,499 | bronze_pipeline | ERROR | [crop_analytics] Failed after 1.54s: No preparer registered for table: 'bronze.crop_analytics'. Available: ['bronze.rainfall']
2026-06-30 22:19:50,649 | bronze_pipeline | INFO | [production] Starting ingestion
2026-06-30 22:19:56,281 | bronze_pipeline | ERROR | [production] Failed after 5.63s: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 22:19:57,511 | bronze_pipeline | INFO | [rainfall] Starting ingestion
2026-06-30 22:20:02,077 | bronze_pipeline | ERROR | [rainfall] Failed after 4.57s: invalid input syntax for type numeric: ".."
CONTEXT:  COPY rainfall, line 404, column average_rain_fall_mm_per_year: ".."

2026-06-30 22:20:03,234 | bronze_pipeline | INFO | [temperature] Starting ingestion
2026-06-30 22:20:04,706 | bronze_pipeline | ERROR | [temperature] Failed after 1.47s: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 22:20:05,859 | bronze_pipeline | INFO | [production_coded] Starting ingestion
2026-06-30 22:20:07,368 | bronze_pipeline | ERROR | [production_coded] Failed after 1.51s: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 22:20:08,522 | bronze_pipeline | INFO | [crop_analytics] Starting ingestion
2026-06-30 22:20:09,999 | bronze_pipeline | ERROR | [crop_analytics] Failed after 1.48s: No preparer registered for table: 'bronze.crop_analytics'. Available: ['bronze.rainfall']
2026-06-30 22:23:46,466 | bronze_pipeline | INFO | [production] Starting ingestion
2026-06-30 22:23:52,671 | bronze_pipeline | ERROR | [production] Failed after 6.21s: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 22:23:53,945 | bronze_pipeline | INFO | [rainfall] Starting ingestion
2026-06-30 22:24:00,183 | bronze_pipeline | INFO | [rainfall] Done — 6727 rows inserted in 4.97s
2026-06-30 22:24:00,184 | bronze_pipeline | INFO | [temperature] Starting ingestion
2026-06-30 22:24:01,799 | bronze_pipeline | ERROR | [temperature] Failed after 1.62s: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 22:24:03,081 | bronze_pipeline | INFO | [production_coded] Starting ingestion
2026-06-30 22:24:04,744 | bronze_pipeline | ERROR | [production_coded] Failed after 1.66s: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 22:24:06,017 | bronze_pipeline | INFO | [crop_analytics] Starting ingestion
2026-06-30 22:24:07,636 | bronze_pipeline | ERROR | [crop_analytics] Failed after 1.62s: No preparer registered for table: 'bronze.crop_analytics'. Available: ['bronze.rainfall']
2026-06-30 22:24:55,480 | bronze_pipeline | INFO | [production] Starting ingestion
2026-06-30 22:25:05,369 | bronze_pipeline | INFO | [production] Done — 4349 rows inserted in 8.73s
2026-06-30 22:25:05,369 | bronze_pipeline | INFO | [rainfall] Starting ingestion
2026-06-30 22:25:09,802 | bronze_pipeline | INFO | [rainfall] Done — 6727 rows inserted in 3.27s
2026-06-30 22:25:09,802 | bronze_pipeline | INFO | [temperature] Starting ingestion
2026-06-30 22:25:17,709 | bronze_pipeline | INFO | [temperature] Done — 71311 rows inserted in 6.75s
2026-06-30 22:25:17,709 | bronze_pipeline | INFO | [production_coded] Starting ingestion
2026-06-30 22:25:26,163 | bronze_pipeline | INFO | [production_coded] Done — 56717 rows inserted in 7.30s
2026-06-30 22:25:26,163 | bronze_pipeline | INFO | [crop_analytics] Starting ingestion
2026-06-30 22:25:31,837 | bronze_pipeline | INFO | [crop_analytics] Done — 28242 rows inserted in 4.51s
